sigma,omega,fdm_s1,fdm_cut_N1,fdm_cut_N3,fdm_full,M_cut_N1,binds_N1,M_cut_N3,binds_N3,file
100000.0,0.83767764,0.0237021259475415,0.018678371122922026,0.018678371122922026,0.018711930720940056,9702163.0,abundance,9702163.0,abundance,sigma100000.0_W0.83767764_l1e-04_h1e+06.txt
100000.0,1.12533558,0.0230147892845482,0.021009347933600146,0.021009347933600146,0.021090544927340957,24095790.0,abundance,24095790.0,abundance,sigma100000.0_W1.12533558_l1e-04_h1e+06.txt
100000.0,11.9377664,0.0221305664333479,0.05134792667883528,0.03996333292793542,0.06932521428092145,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W11.9377664_l1e-04_h1e+06.txt
100000.0,126.638017,0.0221845354612264,0.051705087960962584,0.04113881928620321,0.07238027445976807,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W126.638017_l1e-04_h1e+06.txt
100000.0,1.51177507,0.0225376222926365,0.0236963921772595,0.0236963921772595,0.023891139971339445,59623350.0,abundance,59623350.0,abundance,sigma100000.0_W1.51177507_l1e-04_h1e+06.txt
100000.0,16.0371874,0.022194383507528,0.04890756231525023,0.03891284013660804,0.07009603525881213,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W16.0371874_l1e-04_h1e+06.txt
100000.0,170.125428,0.0221854320982647,0.052493535933479954,0.04166993762196495,0.07360388759380881,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W170.125428_l1e-04_h1e+06.txt
100000.0,2.03091762,0.0223703109200812,0.02676173638053361,0.02676173638053361,0.027179510864059682,146590000.0,abundance,146590000.0,abundance,sigma100000.0_W2.03091762_l1e-04_h1e+06.txt
100000.0,21.5443469,0.022189857111071,0.04825807088214222,0.03868570522531489,0.06955971690363917,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W21.5443469_l1e-04_h1e+06.txt
100000.0,228.546386,0.0221850373806273,0.0531176592710932,0.041896390619805095,0.07508645930532169,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W228.546386_l1e-04_h1e+06.txt
100000.0,2.72833338,0.0223493809956986,0.030642088713536776,0.02986284940942026,0.031201431456195743,428300000.0,abundance,283470700.0,abundance,sigma100000.0_W2.72833338_l1e-04_h1e+06.txt
100000.0,28.9426612,0.0221805082595085,0.04790255054688896,0.03838595908359788,0.06950101364810118,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W28.9426612_l1e-04_h1e+06.txt
100000.0,307.029063,0.0221846806456311,0.053524289691586804,0.04203950857324209,0.07537612774577601,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W307.029063_l1e-04_h1e+06.txt
100000.0,3.66524124,0.0223548689835558,0.03495249205591982,0.033618354628075886,0.036256779506689,977750200.0,abundance,647124700.0,abundance,sigma100000.0_W3.66524124_l1e-04_h1e+06.txt
100000.0,38.8815518,0.0221780342352267,0.04717988752239705,0.03803600049862886,0.06858567124243392,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W38.8815518_l1e-04_h1e+06.txt
100000.0,4.92388263,0.022338011664799,0.0400414415061037,0.0379406224542588,0.042798854047416256,2232070000.0,abundance,1477297000.0,abundance,sigma100000.0_W4.92388263_l1e-04_h1e+06.txt
100000.0,52.2334507,0.0221797137631669,0.04817531580795195,0.039331631991164406,0.06859759751690597,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W52.2334507_l1e-04_h1e+06.txt
100000.0,554.102033,0.0221846802064466,0.05383475345942114,0.042173444006199434,0.07591703852703224,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W554.102033_l1e-04_h1e+06.txt
100000.0,6.61474064,0.0221523562372582,0.046042007124482295,0.039783872972275335,0.05112913293104977,5095509000.0,abundance,2232070000.0,abundance,sigma100000.0_W6.61474064_l1e-04_h1e+06.txt
100000.0,70.1703829,0.0221831168422898,0.04870856259706351,0.039668175964504455,0.06817900083269725,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W70.1703829_l1e-04_h1e+06.txt
100000.0,744.380301,0.0221846932715477,0.053900297157742846,0.042204186208354,0.0759993549463727,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W744.380301_l1e-04_h1e+06.txt
100000.0,8.88623816,0.0222187199711064,0.04905896643413869,0.041390171514451526,0.061063105778321955,7698879000.0,abundance,3372467000.0,abundance,sigma100000.0_W8.88623816_l1e-04_h1e+06.txt
100000.0,94.2668455,0.0221834567196938,0.050155014674600235,0.040536619108409506,0.06993540596882328,11632350000.0,abundance,3372467000.0,abundance,sigma100000.0_W94.2668455_l1e-04_h1e+06.txt
10000.0,0.0134339933,2.094563421072009e-05,1.529911118993072e-05,1.529911118993072e-05,1.529911259689469e-05,0.5267227,abundance,0.5267227,abundance,sigma10000.0_W0.0134339933_l1e-04_h1e+06.txt
10000.0,0.016155981,3.608045705949213e-05,2.5482607269535653e-05,2.548260204446719e-05,2.5482608907969545e-05,1.119302,abundance,0.9135113,abundance,sigma10000.0_W0.016155981_l1e-04_h1e+06.txt
10000.0,0.0180472177,4.907504004368529e-05,3.41935952470936e-05,3.41935952470936e-05,3.419359939094901e-05,1.564101,abundance,1.564101,abundance,sigma10000.0_W0.0180472177_l1e-04_h1e+06.txt
10000.0,0.01,7.914969341735998e-06,6.414498701362177e-06,6.414498701362177e-06,6.414499099894442e-06,0.1799222,abundance,0.1799222,abundance,sigma10000.0_W0.01_l1e-02_h1e+06.txt
10000.0,0.01,7.914976667188004e-06,6.414498701362177e-06,6.414498701362177e-06,6.414499099894442e-06,0.1799222,abundance,0.1799222,abundance,sigma10000.0_W0.01_l1e-04_h1e+06.txt
10000.0,0.02253715,8.887859987250295e-05,6.082084589405654e-05,6.082082693639057e-05,6.0820851492363764e-05,3.82029,abundance,3.077986,abundance,sigma10000.0_W0.02253715_l1e-02_h1e+06.txt
10000.0,0.0242446202,0.0001067184472658,7.274505534695203e-05,7.274505534695203e-05,7.274506574420216e-05,4.767351,abundance,4.767351,abundance,sigma10000.0_W0.0242446202_l1e-04_h1e+06.txt
10000.0,0.0261015722,0.0001276455524133,8.672700293832844e-05,8.672700293832844e-05,8.672702162388507e-05,5.984349,abundance,5.984349,abundance,sigma10000.0_W0.0261015722_l1e-04_h1e+06.txt
10000.0,0.03162278,0.0001996151987968,0.00013479800240660074,0.0001347979422848842,0.00013479802032748646,13.49298,abundance,10.7306,abundance,sigma10000.0_W0.03162278_l1e-02_h1e+06.txt
10000.0,0.0325702066,0.0002135835168578,0.00014412612711251383,0.0001441260522331092,0.00014412614893352633,14.81024,abundance,11.76489,abundance,sigma10000.0_W0.0325702066_l1e-04_h1e+06.txt
10000.0,0.03593814,0.0002685036070898,0.0001808017496802599,0.00018080158958386417,0.00018080178978836868,20.05319,abundance,15.8699,abundance,sigma10000.0_W0.03593814_l1e-02_h1e+06.txt
10000.0,0.0421696503,0.0003768003218422,0.00025311150853860314,0.00025311150853860314,0.0002531116482257104,32.90279,abundance,32.90279,abundance,sigma10000.0_W0.0421696503_l1e-04_h1e+06.txt
10000.0,0.0437547938,0.0004055268221747,0.00027229206374730186,0.00027229206374730186,0.0002722922477520022,36.87759,abundance,36.87759,abundance,sigma10000.0_W0.0437547938_l1e-04_h1e+06.txt
10000.0,0.05079232,0.0005460207621313,0.0003660955485241018,0.000366095169340703,0.00036609565495967833,74.33691,abundance,58.05774,abundance,sigma10000.0_W0.05079232_l1e-02_h1e+06.txt
10000.0,0.0587801607,0.0007297027918585,0.0004887329562404499,0.0004887329562404499,0.0004887332527335325,117.4221,abundance,117.4221,abundance,sigma10000.0_W0.0587801607_l1e-04_h1e+06.txt
10000.0,0.0681292069,0.0009482311481893,0.0006346256881358879,0.0006346256881358879,0.000634626393301266,185.8383,abundance,185.8383,abundance,sigma10000.0_W0.0681292069_l1e-04_h1e+06.txt
10000.0,0.0789652287,0.0012194071073685,0.0008156703880779402,0.000815668689375134,0.000815670761512599,382.2905,abundance,293.5822,abundance,sigma10000.0_W0.0789652287_l1e-04_h1e+06.txt
10000.0,0.106081836,0.0019548158002356,0.0013066491940703902,0.0013066491940703902,0.0013066518089913084,965.3795,abundance,965.3795,abundance,sigma10000.0_W0.106081836_l1e-04_h1e+06.txt
10000.0,0.110069417,0.0020610485159995,0.0013775648000951988,0.0013775648000951988,0.0013775680346522442,1077.031,abundance,1077.031,abundance,sigma10000.0_W0.110069417_l1e-04_h1e+06.txt
10000.0,0.1144714,0.0021815999661818,0.001458058962268435,0.001458058962268435,0.0014580627183749775,1224.594,abundance,1224.594,abundance,sigma10000.0_W0.1144714_l1e-02_h1e+06.txt
