sigma,omega,fdm_trap,fdm_vegas,meq_vegas,Q_f,Q_m,M_lo,M_hi,file
0.449059,0.3367929,6.474411759357239e-32,6.4743887670139e-32,0.9577757656178926,0.5945072025596527,0.16740608597622963,0.0001,147.8725,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.449059_W0.3367929_l1e-04_h1e+06.txt
0.4624155,0.2546287,1.8497945802187012e-32,1.8498029211435925e-32,0.4563233876570871,0.3885031554974525,0.3885031554974525,0.0001,46.62491,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.4624155_W0.2546287_l1e-04_h1e+06.txt
0.5152603,0.2,7.948702487643145e-33,7.948715369989488e-33,0.2227827876899078,0.8420839506773408,0.7379187953252554,0.0001,19.61998,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W0.2_l1e-02_h1e+06.txt
0.5152603,0.5152603,6.293414196876078e-29,6.29338994932929e-29,4.9363341231195905,0.9963307244846055,0.304361194119832,0.0001,1068.403,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W0.5152603_l1e-02_h1e+06.txt
0.5152603,1000.0,6.145138237726559e-16,6.145125532794202e-16,511382.66704717727,0.5064050011483547,0.5064050011483547,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W1000.0_l1e-02_h1e+06.txt
0.5152603,1.327466,1.3568936605955062e-25,1.3568897533390689e-25,98.5823650052257,0.3287926727441146,0.1047112100406843,0.0001,50316.33,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W1.327466_l1e-02_h1e+06.txt
0.5152603,150.663,6.001860277076942e-16,6.001859728298752e-16,511393.4335683273,0.604323785420902,0.604323785420902,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W150.663_l1e-02_h1e+06.txt
0.5152603,22.69935,1.4688094647320073e-16,1.4688085271127682e-16,425365.59261721733,0.7793597058013663,0.2514278228067881,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.5152603_W22.69935_l1e-02_h1e+06.txt
0.5152603,3.419952,1.4043942187216213e-21,1.4043927591970135e-21,2971.25660152528,0.2779615531141924,0.12118786785899824,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W3.419952_l1e-02_h1e+06.txt
0.5152603,388.1533,6.1209736075215275e-16,6.120961608064928e-16,511354.69856167113,0.9668903154059989,0.45079031260179314,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.5152603_W388.1533_l1e-02_h1e+06.txt
0.5152603,58.48035,5.1694190686249875e-16,5.169401744715738e-16,507153.3418614484,0.6630989218772829,0.30984621020242464,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out2_100pt/sigma0.5152603_W58.48035_l1e-02_h1e+06.txt
0.5152603,8.810827,8.606339455471273e-19,8.606311955332026e-19,55207.2117777186,0.4953824849879125,0.48994777527744393,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/bounds/sigma0.5152603_W8.810827_l1e-02_h1e+06.txt
0.5698953,0.3716647,1.4891594597328932e-29,1.4891648108459303e-29,1.9289633650847342,0.973161678866927,0.6619922931053064,0.0001,318.1613,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.5698953_W0.3716647_l1e-04_h1e+06.txt
0.5983934,0.2684778,9.97173640173841e-32,9.971803389552373e-32,0.4381756169706078,0.4035016142165686,0.2303540264192911,0.0001,87.04958,/data/homezvol0/jgpaine/sashimi+DD/band15/sigma0.5983934_W0.2684778_l1e-04_h1e+06.txt
0.5,0.5,4.205270553824442e-29,4.20527822211988e-29,4.6600013967853675,0.3761128085495481,0.3761128085495481,0.0001,904.2924,/data/homezvol0/jgpaine/sashimi+DD/out_testarray/sigma0.5_W0.5_l1e-02_h1e+06.txt
0.5,1000.0,5.011295376494856e-16,5.011265686787566e-16,526359.0067227015,0.012200121900152579,0.012200121900152579,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out_testarray/sigma0.5_W1000.0_l1e-02_h1e+06.txt
0.5,149.5349,4.928587905213676e-16,4.928574706504866e-16,525857.3557247008,0.8256474974219293,0.21792081075119046,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out_testarray/sigma0.5_W149.5349_l1e-02_h1e+06.txt
0.5,22.36068,9.86176895426686e-17,9.861752950216627e-17,406592.7080729502,0.07603799465805337,0.07603799465805337,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out_testarray/sigma0.5_W22.36068_l1e-02_h1e+06.txt
0.5,3.343702,8.547384840155446e-22,8.547394217071752e-22,2811.277146052947,0.9184173887643954,0.35248201181446137,0.0001,1000000.0,/data/homezvol0/jgpaine/sashimi+DD/out_testarray/sigma0.5_W3.343702_l1e-02_h1e+06.txt
